"Idcode","NOM_ENT_1","NOM_MUN_1","Tmean_MayOct","Precipmean_MayOct","Precipsum_MayOct","MedianAlt_med","Slope_mod","aplt2010","yldclass","acos2010","aper2010","aper10.","prod2010","rend2010","prec2010","valo2010"
"15010","México","Apaxco",16.7277566094102,82.186502009521,82.186502009521,2239.25,2.83397245407104,1510,4,1460,50,0.033112583,4600,3.15,3500,16100
"15043","México","Xalatlaco",11.9216271468571,171.195624370964,171.195624370964,2982.75,9.27036952972412,595,4,595,0,0,1874.25,3.15,3000,5622.75
"16046","Michoacán de Ocampo","Juárez",21.5304550635187,147.685993283924,147.685993283924,1310,9.64005756378174,870,4,870,0,0,2739.2,3.15,2480,6793.22
"15096","México","Tequixquiac",16.7520393956361,86.8227438176484,86.8227438176484,2266.57507324219,2.73764777183533,3180,4,2800,380,0.119496855,8900,3.18,3500,31150
"16041","Michoacán de Ocampo","Irimbo",17.5719215874215,136.933603167749,136.933603167749,2227.74536132812,3.90153479576111,3040,4,3040,0,0,9670.57,3.18,3000,29011.72
"16028","Michoacán de Ocampo","Churintzio",20.0067963244064,122.688876202744,122.688876202744,1832,4.13172435760498,1200,4,1200,0,0,3828.89,3.19,2850,10912.33
"17026","Morelos","Tlayacapan",21.3919654920989,150.914953942392,150.914953942392,1501.25,5.45758056640625,637,4,637,0,0,2034.5,3.19,3855.89,7844.8
"15094","México","Tepetlixpa",17.5120426988214,144.344401134708,144.344401134708,2146.25,5.11442518234253,800,4,800,0,0,2560,3.2,3000,7680
"16085","Michoacán de Ocampo","Tangancícuaro",19.449804775037,138.638904737061,138.638904737061,1768.53924560547,8.73608016967773,3600,4,3600,0,0,11532.89,3.2,2900,33445.38
"17025","Morelos","Tlaquiltenango",24.7846171561725,131.842082718657,131.842082718657,1090.52960205078,13.9193058013916,2130,4,2130,0,0,6816,3.2,3500,23856
"30106","Veracruz de Ignacio de la Llave","Miahuatlán",15.5589508056641,206.372457885742,206.372457885742,1887,1.79396998882294,538,4,538,0,0,1723.53,3.2,3299.99,5687.64
"30148","Veracruz de Ignacio de la Llave","Soledad de Doblado",26.9688125441482,171.901636682362,171.901636682362,71,3.57096552848816,1100,4,22,1078,0.98,70.48,3.2,2999.95,211.44
"08052","Chihuahua","Ojinaga",25.6775931721063,34.9890847002797,34.9890847002797,852.685791015625,0.888475298881531,10,4,10,0,0,32.1,3.21,2400,77.04
"11024","Guanajuato","Pueblo Nuevo",21.1222703234355,100.209887237549,100.209887237549,1886.53271484375,0.14323915541172,438,4,438,0,0,1405.98,3.21,2900,4077.34
"11042","Guanajuato","Valle de Santiago",20.5010405693445,97.7781742594098,97.7781742594098,1900.66644287109,6.13948631286621,9637,4,9578,59,0.006122237,30745.38,3.21,2850,87624.33
"12040","Guerrero","Leonardo Bravo",21.2054213899455,181.274786897184,181.274786897184,1686,15.0886917114258,5910,4,5910,0,0,18971.1,3.21,4000,75884.4
"12051","Guerrero","Quechultenango",24.1176575935023,210.019812970872,210.019812970872,929.5,12.8769493103027,8930,4,8930,0,0,28665.3,3.21,3072.97,88087.61
"14048","Jalisco","Jesús María",19.0218923714985,120.417206157039,120.417206157039,1952,7.22854280471802,12765,4,12765,0,0,40975.65,3.21,2100,86048.86
"14106","Jalisco","Tuxcacuesco",25.1697073374471,105.911048379923,105.911048379923,878.46826171875,10.8746032714844,1646.5,4,1515.5,131,0.079562709,4864.76,3.21,2681.1,13042.89
"16004","Michoacán de Ocampo","Angamacutiro",20.1475121327378,115.949090171598,115.949090171598,1829.87036132812,6.23501491546631,1810,4,1810,0,0,5810.1,3.21,2850,16558.78
"16055","Michoacán de Ocampo","Múgica",28.4440407946144,109.736845700987,109.736845700987,447.524642944336,1.53517007827759,163,4,163,0,0,523.23,3.21,2570.15,1344.78
"16067","Michoacán de Ocampo","Penjamillo",19.5221523202992,122.68961965413,122.68961965413,1863,1.16069948673248,3600,4,3600,0,0,11556,3.21,2850,32934.6
"16069","Michoacán de Ocampo","La Piedad",21.005426145329,118.588372841224,118.588372841224,1761.21826171875,3.57359385490417,3500,4,3500,0,0,11235,3.21,2800,31458
"16077","Michoacán de Ocampo","San Lucas",28.1149488857935,154.612054479328,154.612054479328,595.377990722656,9.28668022155762,4200,4,3873.32,326.68,0.077780952,12433.36,3.21,3000,37300.07
"16098","Michoacán de Ocampo","Tuxpan",18.2085296959717,141.343431156177,141.343431156177,1872,7.41665697097778,2955,4,2955,0,0,9485.55,3.21,3000,28456.65
"16107","Michoacán de Ocampo","Zacapu",16.9984884252907,141.292709705236,141.292709705236,2240.10681152344,6.00083541870117,5000,4,5000,0,0,16050,3.21,2750,44137.5
"16110","Michoacán de Ocampo","Zinapécuaro",17.3212857292641,139.886615939041,139.886615939041,2358,8.29077339172363,6200,4,6200,0,0,19902,3.21,2700,53735.4
"21001","Puebla","Acajete",15.7993418245619,115.835274146297,115.835274146297,2337,3.23175120353699,10440,4,10440,0,0,33512.4,3.21,3800,127347.12
"21015","Puebla","Amozoc",16.1648292966408,118.278952985707,118.278952985707,2294.23413085938,1.89007484912872,5100,4,5100,0,0,16371,3.21,3800,62209.8
"21034","Puebla","Coronango",17.1960717804437,125.135947092424,125.135947092424,2193,0.775564789772034,2200,4,2200,0,0,7062,3.21,3800,26835.6
"21045","Puebla","Chalchicomula de Sesma",14.2033762119742,73.9727082764537,73.9727082764537,2478,4.29503679275513,14300,4,12910,1390,0.097202797,41441.1,3.21,2610.4,108177.85
"21163","Puebla","Tepatlaxco de Hidalgo",14.3815004554662,117.408729033037,117.408729033037,2732,4.17957496643066,2500,4,2500,0,0,8025,3.21,3800,30495
"21179","Puebla","Tlachichuca",12.3455100971433,108.100313188843,108.100313188843,2941,11.7006587982178,14800,4,13600,1200,0.081081081,43656,3.21,2607.8,113846.12
"30011","Veracruz de Ignacio de la Llave","Alvarado",26.9971445174444,236.607900347028,236.607900347028,22.4160089492798,0.739274382591248,240,4,240,0,0,770.4,3.21,3000,2311.2
"30032","Veracruz de Ignacio de la Llave","Catemaco",24.8796902338664,256.20617482112,256.20617482112,444.378456115723,6.9388575553894,2150,4,385,1765,0.820930233,1235.85,3.21,3000,3707.55
"30090","Veracruz de Ignacio de la Llave","Jamapa",27.11962328174,200.830572359909,200.830572359909,40.7917823791504,0.716732561588287,710,4,507.3,202.7,0.285492958,1628.43,3.21,3000.01,4885.3
"30097","Veracruz de Ignacio de la Llave","Lerdo de Tejada",27.0390886893639,275.332110673953,275.332110673953,31.2483267784119,0.118118107318878,60,4,53,7,0.116666667,170.13,3.21,3500,595.46
"30100","Veracruz de Ignacio de la Llave","Manlio Fabio Altamirano",27.1403779171974,181.37279098451,181.37279098451,46.1034488677979,1.66628587245941,2700,4,1116.5,1583.5,0.586481481,3583.97,3.21,3000,10751.9
"30105","Veracruz de Ignacio de la Llave","Medellín de Bravo",27.0929916752797,210.060609237063,210.060609237063,30.1090774536133,0.859849452972412,650,4,491,159,0.244615385,1576.11,3.21,3000,4728.33
"30114","Veracruz de Ignacio de la Llave","Nautla",26.3693160410321,167.247506986145,167.247506986145,25.9864110946655,4.74407434463501,150,4,146,4,0.026666667,468.66,3.21,3000,1405.98
"30130","Veracruz de Ignacio de la Llave","Playa Vicente",27.1160861069792,280.606160560158,280.606160560158,191.242012023926,0.604305505752563,6300,4,5366,934,0.148253968,17224.86,3.21,3000,51674.58
"30139","Veracruz de Ignacio de la Llave","Saltabarranca",27.0407553609212,237.502443288167,237.502443288167,52.2233047485352,0.181184560060501,100,4,10,90,0.9,32.1,3.21,3500,112.35
"30141","Veracruz de Ignacio de la Llave","San Andrés Tuxtla",25.5978011739591,253.225747597777,253.225747597777,239,4.87724828720093,12640,4,9827,2813,0.222547468,31544.67,3.21,3000,94634.01
"30143","Veracruz de Ignacio de la Llave","Santiago Tuxtla",26.4593891778687,218.409409120815,218.409409120815,104.681568145752,4.74330282211304,5000,4,2246,2754,0.5508,7209.66,3.21,3000,21628.98
"30172","Veracruz de Ignacio de la Llave","Texistepec",27.0335068438137,306.499024198472,306.499024198472,89.0749816894531,0.326632648706436,3335,4,2456,879,0.263568216,7883.76,3.21,2702.7,21307.44
"30193","Veracruz de Ignacio de la Llave","Veracruz",27.1057625178135,183.363558046746,183.363558046746,44.4619255065918,0.820294678211212,175,4,175,0,0,561.75,3.21,3300,1853.78
"30212","Veracruz de Ignacio de la Llave","Santiago Sochiapan",26.7845825187365,331.72218348821,331.72218348821,231.831298828125,1.10679841041565,1700,4,1447,253,0.148823529,4644.87,3.21,3000,13934.61
"07028","Chiapas","Chiapilla",25.975200069617,167.826508618783,167.826508618783,845.879028320312,4.54581260681152,2542,4,2542,0,0,8179.66,3.22,3000,24538.97
"16007","Michoacán de Ocampo","Aporo",17.0875497454689,150.680508531843,150.680508531843,2339.5,7.12230777740479,1748,4,1748,0,0,5622.3,3.22,3000,16866.91
